"","SPECIES","TAXONNAME","COMMONNAME","GENUS","FAMILY","COMMONFAMILYALL","TROPHIC","TROPHIC_MONREP"
"147","PEOU","Pempheris oualensis","Silver sweeper","Pempheris","Pempheridae","Sweeper","Pk","PLANKTIVORE"
"148","POIM","Pomacanthus imperator","Emperor angelfish","Pomacanthus","Pomacanthidae","Angelfish","SI","SECONDARY"
"149","LABI","Labroides bicolor","Bicolor cleaner wrasse","Labroides","Labridae","Wrasse","MI","SECONDARY"
"150","LUMO","Lutjanus monostigma","Onespot snapper","Lutjanus","Lutjanidae","Snapper","Pisc","PISCIVORE"
"151","LARU","Labroides rubrolabiatus","Redlip cleaner wrasse","Labroides","Labridae","Wrasse","MI","SECONDARY"
"152","SACA","Sargocentron caudimaculatum","Silverspot squirrelfish","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"153","ODNI","Odonus niger","Redtoothed triggerfish","Odonus","Balistidae","Triggerfish","Pk","PLANKTIVORE"
"154","EPHE","Epinephelus hexagonatus","Starspotted grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"155","APGR","Apolemichthys griffisi","Griffis angelfish","Apolemichthys","Pomacanthidae","Angelfish","SI","SECONDARY"
"156","CELE","Cephalopholis leopardus","Leopard hind","Cephalopholis","Serranidae","Grouper","Pisc","PISCIVORE"
"157","NAVL","Naso vlamingii","Bignose unicornfish","Naso","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"158","STAU","Stegastes aureus","Golden gregory","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"159","CTFL","Ctenochaetus flavicauda","Pale-tailed/Whitetail bristletooth","Ctenochaetus","Acanthuridae","Surgeonfish","H","PRIMARY"
"160","PTTI","Pterocaesio tile","Dark-banded fusilier","Pterocaesio","Caesionidae","Fusilier","Pk","PLANKTIVORE"
"161","PLDI","Plectroglyphidodon dickii","Blackbar devil","Plectroglyphidodon","Pomacentridae","Damselfish","Cor","SECONDARY"
"162","CTSP","Ctenochaetus sp","Bristletooth","Ctenochaetus","Acanthuridae","Surgeonfish","H","PRIMARY"
"163","PLLA","Plectroglyphidodon lacrymatus","Whitespotted devil","Plectroglyphidodon","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
