"","SPECIES","TAXONNAME","COMMONNAME","GENUS","FAMILY","COMMONFAMILYALL","TROPHIC","TROPHIC_MONREP"
"216","SCNI","Scarus niger","Dusky parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"217","SPHE","Sphyraena helleri","Heller's barracuda","Sphyraena","Sphyraenidae","Barracuda","Pisc","PISCIVORE"
"218","ANME","Anampses melanurus","White-spotted wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"219","PSMO","Pseudodax moluccanus","Chiseltooth wrasse","Pseudodax","Labridae","Wrasse","MI","SECONDARY"
"220","CHCA","Chromis caudalis","Blue-axil chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"221","SPBA","Sphyraena barracuda","Great barracuda","Sphyraena","Sphyraenidae","Barracuda","Pisc","PISCIVORE"
"222","SUCH","Sufflamen chrysopterum","Halfmoon triggerfish","Sufflamen","Balistidae","Triggerfish","MI","SECONDARY"
"223","OSAN","Ostorhinchus angustatus","Broadstriped cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"224","EPSL","Epinephelus spilotoceps","Foursaddle grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"225","SAMI","Sargocentron microstoma","Smallmouth squirrelfish","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"226","STFA","Stegastes fasciolatus","Pacific gregory","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"227","THPU","Thalassoma purpureum","Surge wrasse","Thalassoma","Labridae","Wrasse","MI","SECONDARY"
"228","CHVG","Chaetodon vagabundus","Vagabond butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","SI","SECONDARY"
"229","NESP","Neoniphon sp","UNKNOWN","Neoniphon","Holocentridae","Soldierfish","MI","SECONDARY"
"230","ACMA","Acanthurus maculiceps","White-freckled surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"231","CHLI","Chaetodon lineolatus","Lined butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","SI","SECONDARY"
"232","VALO","Variola louti","Yellow-edged lyretail","Variola","Serranidae","Grouper","Pisc","PISCIVORE"
"233","BOXF","Ostraciidae","UNKNOWN","UNKNOWN","Ostraciidae","Boxfish","SI","SECONDARY"
"234","CIEX","Cirrhilabrus exquisitus","Exquisite wrasse","Cirrhilabrus","Labridae","Wrasse","Pk","PLANKTIVORE"
"235","CAAM","Canthigaster amboinensis","Spider-eye puffer","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"236","ACNI","Acanthurus nigricauda","Epaulette surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"237","CHMC","Chlorurus microrhinos","Steephead parrots","Chlorurus","Scaridae","Parrotfish","H","PRIMARY"
"238","CHTL","Cheilinus trilobatus","Tripletail wrasse","Cheilinus","Labridae","Wrasse","MI","SECONDARY"
"239","LUKA","Lutjanus kasmira","Common bluestripe snapper","Lutjanus","Lutjanidae","Snapper","MI","SECONDARY"
"240","HECA","Heteropriacanthus carolinus","Glasseye","Heteropriacanthus","Priacanthidae","Bigeye","Pk","PLANKTIVORE"
"241","ANMG","Anampses meleagrides","Spotted wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"242","STBN","Stethojulis bandanensis","Red shoulder wrasse","Stethojulis","Labridae","Wrasse","Pk","PLANKTIVORE"
"243","MAME","Macropharyngodon meleagris","Blackspotted wrasse","Macropharyngodon","Labridae","Wrasse","MI","SECONDARY"
"244","CIVR","Cirripectes variolosus","Red-speckled blenny","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"245","XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish","Xanthichthys","Balistidae","Triggerfish","Pk","PLANKTIVORE"
"246","PAHP","Paracanthurus hepatus","Palette surgeonfish","Paracanthurus","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"247","BOME","Bodianus mesothorax","Splitlevel hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"248","MYKU","Myripristis kuntee","Shoulderbar soldierfish","Myripristis","Holocentridae","Soldierfish","Pk","PLANKTIVORE"
"249","SPQE","Sphyraena qenie","Blackfin barracuda","Sphyraena","Sphyraenidae","Barracuda","Pisc","PISCIVORE"
"250","RHRE","Rhinecanthus rectangulus","Wedge-tail triggerfish","Rhinecanthus","Balistidae","Triggerfish","MI","SECONDARY"
"251","BAVI","Balistoides viridescens","Titan triggerfish","Balistoides","Balistidae","Triggerfish","MI","SECONDARY"
"252","ABAB","Abudefduf abdominalis","Green damselfish","Abudefduf","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"253","FISH","Un-id fish sp","UNKNOWN","UNKNOWN","UNKNOWN","Unspecified Fish","X","SECONDARY"
"254","PTVO","Pterois volitans","Red lionfish","Pterois","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"255","OXBI","Oxycheilinus bimaculatus","Two-spot wrasse","Oxycheilinus","Labridae","Wrasse","MI","SECONDARY"
"256","LAUN","Labrichthys unilineatus","Tubelip wrasse","Labrichthys","Labridae","Wrasse","Cor","SECONDARY"
"257","CHTE","Chromis ternatensis","Ternate chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"258","ARNI","Arothron nigropunctatus","Blackspotted puffer","Arothron","Tetraodontidae","Pufferfish","Cor","SECONDARY"
"259","AEOC","Aetobatus ocellatus","Spotted eagle ray","Aetobatus","Myliobatidae","Eagle Rays","MI","SECONDARY"
"260","ACLU","Acanthurus leucocheilus","Palelipped surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"261","TROB","Triaenodon obesus","Whitetip reef shark","Triaenodon","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"262","CESX","Cephalopholis sexmaculata","Sixblotch hind","Cephalopholis","Serranidae","Grouper","Pisc","PISCIVORE"
"263","MANI","Macolor niger","Black and white snapper","Macolor","Lutjanidae","Snapper","Pk","PLANKTIVORE"
"264","ACXA","Acanthurus xanthopterus","Yellowfin surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"265","GYBR","Gymnothorax breedeni","Blackcheek moray","Gymnothorax","Muraenidae","Moray","Pisc","PISCIVORE"
"266","ANTW","Anampses twistii","Yellowbreasted wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"267","SCDM","Scarus dimidiatus","Yellowbarred parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"268","DARE","Dascyllus reticulatus","Reticulate dascyllus","Dascyllus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"269","CEBI","Centropyge bispinosa","Twospined angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"270","POVA","Pomacentrus vaiuli","Ocellate damselfish","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"271","HEPO","Hemitaurichthys polylepis","Pyramid butterflyfish","Hemitaurichthys","Chaetodontidae","Butterflyfish","Pk","PLANKTIVORE"
"272","HESI","Heniochus singularius","Singular bannerfish","Heniochus","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"273","CHIO","Chromis iomelas","Half-and-half chromis","Chromis","Pomacentridae","Damselfish","H","PRIMARY"
"274","CTBI","Ctenochaetus binotatus","Twospot surgeonfish","Ctenochaetus","Acanthuridae","Surgeonfish","H","PRIMARY"
"275","CHPW","Chaetodon pelewensis","Sunset butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"276","SCFO","Scarus forsteni","Forsten's parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"277","CHRE","Chaetodon reticulatus","Mailed butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"278","SCOV","Scarus oviceps","Dark capped parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"279","SCSI","Scarus spinus","Greensnout parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"280","POBR","Pomacentrus brachialis","Charcoal damsel","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"281","PLLV","Plectropomus laevis","Blacksaddled coralgrouper","Plectropomus","Serranidae","Grouper","Pisc","PISCIVORE"
"282","CIPU","Cirrhilabrus punctatus","Dotted wrasse","Cirrhilabrus","Labridae","Wrasse","MI","SECONDARY"
"283","PORI","Pomachromis richardsoni","Richardson's reef-damsel","Pomachromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"284","HAPR","Halichoeres prosopeion","Twotone wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"285","CHJA","Chlorurus japanensis","Palecheek parrotfish","Chlorurus","Scaridae","Parrotfish","H","PRIMARY"
"286","HEME","Hemigymnus melapterus","Blackeye thicklip","Hemigymnus","Labridae","Wrasse","MI","SECONDARY"
"287","CIPO","Cirripectes polyzona","Barred blenny","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"288","CHFN","Chlorurus frontalis","Tan-faced parrotfish","Chlorurus","Scaridae","Parrotfish","H","PRIMARY"
"289","HAMA","Halichoeres marginatus","Dusky wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"290","MAMA","Macolor macularis","Midnight snapper","Macolor","Lutjanidae","Snapper","Pk","PLANKTIVORE"
"291","CHTA","Chrysiptera taupou","Southseas devil","Chrysiptera","Pomacentridae","Damselfish","H","PRIMARY"
"292","CEHE","Centropyge heraldi","Yellow angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"293","THHA","Thalassoma hardwicke","Sixbar wrasse","Thalassoma","Labridae","Wrasse","Pk","PLANKTIVORE"
"294","CHBR","Chrysiptera brownriggii","Surge damselfish","Chrysiptera","Pomacentridae","Damselfish","H","PRIMARY"
"295","CEOC","Cetoscarus ocellatus","Bicolour parrotfish","Cetoscarus","Scaridae","Parrotfish","H","PRIMARY"
"296","GOAT","Mullidae","UNKNOWN","UNKNOWN","Mullidae","Goatfish","MI","SECONDARY"
