"","cruise","moc_id","date_time","STATION_NUMBER","net_number","depth_m","temp_DegC","sal"
"1",8604,"8604_003_1","1986-06-25 02:21:11",3,1,87,22.21,35.21472
"2",8604,"8604_003_1","1986-06-25 02:21:15",3,1,88,22.17,35.21619
"3",8604,"8604_003_1","1986-06-25 02:21:19",3,1,89,22.09,35.23481
"4",8604,"8604_003_1","1986-06-25 02:21:23",3,1,90,21.97,35.23998
"5",8604,"8604_003_1","1986-06-25 02:21:27",3,1,91,21.95,35.22521
"6",8604,"8604_003_1","1986-06-25 02:21:31",3,1,93,21.92,35.22593
"7",8604,"8604_003_1","1986-06-25 02:21:35",3,1,94,21.86,35.22838
"8",8604,"8604_003_1","1986-06-25 02:21:39",3,1,95,21.75,35.23319
"9",8604,"8604_003_1","1986-06-25 02:21:43",3,1,97,21.71,35.21901
"10",8604,"8604_003_1","1986-06-25 02:21:46",3,1,97,21.6,35.21654
"11",8604,"8604_003_1","1986-06-25 02:21:50",3,1,98,21.56,35.21811
"12",8604,"8604_003_1","1986-06-25 02:21:54",3,1,100,21.52,35.21164
"13",8604,"8604_003_1","1986-06-25 02:21:58",3,1,100,21.51,35.21212
"14",8604,"8604_003_1","1986-06-25 02:22:03",3,1,102,21.5,35.2119
"15",8604,"8604_003_1","1986-06-25 02:22:07",3,1,103,21.5,35.19615
"16",8604,"8604_003_1","1986-06-25 02:22:11",3,1,104,21.47,35.21266
"17",8604,"8604_003_1","1986-06-25 02:22:15",3,1,106,21.42,35.21439
"18",8604,"8604_003_1","1986-06-25 02:22:19",3,1,106,21.41,35.21487
"19",8604,"8604_003_1","1986-06-25 02:22:23",3,1,107,21.3,35.21218
"20",8604,"8604_003_1","1986-06-25 02:22:27",3,1,108,21.17,35.21824
"21",8604,"8604_003_1","1986-06-25 02:22:31",3,1,109,21.06,35.21563
"22",8604,"8604_003_1","1986-06-25 02:22:35",3,1,110,21,35.21056
"23",8604,"8604_003_1","1986-06-25 02:22:39",3,1,111,20.96,35.21222
"24",8604,"8604_003_1","1986-06-25 02:22:43",3,1,112,20.94,35.20515
"25",8604,"8604_003_1","1986-06-25 02:22:47",3,1,113,20.74,35.21501
"26",8604,"8604_003_1","1986-06-25 02:22:50",3,1,114,20.7,35.18568
"27",8604,"8604_003_1","1986-06-25 02:22:54",3,1,114,20.65,35.18826
"28",8604,"8604_003_1","1986-06-25 02:22:58",3,1,116,20.55,35.18497
"29",8604,"8604_003_1","1986-06-25 02:23:03",3,1,117,20.41,35.15307
"30",8604,"8604_003_1","1986-06-25 02:23:07",3,1,118,20.33,35.14915
"31",8604,"8604_003_1","1986-06-25 02:23:11",3,1,119,20.3,35.14259
"32",8604,"8604_003_1","1986-06-25 02:23:15",3,1,120,20.27,35.14381
"33",8604,"8604_003_1","1986-06-25 02:23:19",3,1,122,20.26,35.14364
"34",8604,"8604_003_1","1986-06-25 02:23:23",3,1,121,20.27,35.14346
"35",8604,"8604_003_1","1986-06-25 02:23:27",3,1,123,20.24,35.15214
"36",8604,"8604_003_2","1986-06-25 02:31:10",3,2,202,16.67,34.70983
"37",8604,"8604_003_2","1986-06-25 02:31:14",3,2,202,16.61,34.70573
"38",8604,"8604_003_2","1986-06-25 02:31:18",3,2,202,16.63,34.70442
"39",8604,"8604_003_2","1986-06-25 02:32:18",3,2,202,16.62,34.71308
"40",8604,"8604_003_2","1986-06-25 02:32:22",3,2,201,16.67,34.71022
"41",8604,"8604_003_2","1986-06-25 02:32:26",3,2,201,16.68,34.71758
"42",8604,"8604_003_2","1986-06-25 02:32:30",3,2,200,16.73,34.71472
"43",8604,"8604_003_2","1986-06-25 02:32:34",3,2,200,16.75,34.72143
"44",8604,"8604_003_2","1986-06-25 02:32:38",3,2,201,16.72,34.71497
"45",8604,"8604_003_2","1986-06-25 02:32:42",3,2,201,16.71,34.71564
"46",8604,"8604_003_2","1986-06-25 02:32:46",3,2,200,16.7,34.73266
"47",8604,"8604_003_2","1986-06-25 02:32:50",3,2,199,16.75,34.7218
"48",8604,"8604_003_2","1986-06-25 02:32:54",3,2,199,16.79,34.72722
"49",8604,"8604_003_2","1986-06-25 02:32:58",3,2,199,16.84,34.732
"50",8604,"8604_003_2","1986-06-25 02:33:03",3,2,198,16.86,34.73909
"51",8604,"8604_003_2","1986-06-25 02:33:06",3,2,198,16.9,34.74451
